I, [2016-08-11T23:34:59.617670 #6888]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.2)
E, [2016-08-11T23:34:59.626470 #6888] ERROR -- Kitchen: ------Exception-------
E, [2016-08-11T23:34:59.627452 #6888] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-08-11T23:34:59.627452 #6888] ERROR -- Kitchen: Message: Kitchen YAML file C:/Users/Bipin/Documents/GitHub/Dev_Projects/chef-repo/cookbooks/test/.kitchen.yml does not exist.
E, [2016-08-11T23:34:59.627452 #6888] ERROR -- Kitchen: ----------------------
E, [2016-08-11T23:34:59.627452 #6888] ERROR -- Kitchen: ------Backtrace-------
E, [2016-08-11T23:34:59.627452 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-08-11T23:34:59.629415 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:154:in `data'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:133:in `suites'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/config.rb:119:in `instances'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-08-11T23:34:59.630396 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/command/action.rb:37:in `call'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:56:in `perform'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-08-11T23:34:59.631377 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `block in <top (required)>'
E, [2016-08-11T23:34:59.632358 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-08-11T23:34:59.632358 #6888] ERROR -- Kitchen: C:/opscode/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.2/bin/kitchen:13:in `<top (required)>'
E, [2016-08-11T23:34:59.632358 #6888] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:20:in `load'
E, [2016-08-11T23:34:59.632358 #6888] ERROR -- Kitchen: C:/opscode/chefdk/bin/kitchen:20:in `<main>'
E, [2016-08-11T23:34:59.632358 #6888] ERROR -- Kitchen: ----End Backtrace-----
